ID,Date,Element,Data_Value
CA006114979,2013-05-25,TMAX,115
CA006119500,2013-07-08,TMAX,264
CA006119500,2008-08-31,TMAX,259
CA006119500,2006-08-14,TMIN,142
CA006119500,2010-08-07,TMAX,233
CA006114979,2007-09-27,TMIN,50
CA006111467,2006-07-13,TMIN,130
CA006119500,2006-09-10,TMAX,151
CA006127890,2009-12-26,TMIN,5
CA006127890,2009-08-09,TMAX,295
CA006147229,2005-06-13,TMIN,210
CA006111467,2009-01-31,TMIN,-205
CA006119274,2005-05-01,TMAX,105
CA006127890,2009-07-12,TMIN,90
CA006111467,2012-09-02,TMAX,250
CA006119500,2005-05-27,TMIN,80
CA006119500,2009-12-23,TMIN,-73
CA006116679,2012-10-27,TMIN,40
CA006116132,2006-02-19,TMIN,-150
CA006119274,2006-06-08,TMAX,250
CA006116679,2005-04-06,TMAX,115
CA006114979,2007-12-20,TMIN,-35
CA006119500,2006-09-10,TMIN,51
CA006128206,2006-05-12,TMAX,165
CA006119500,2012-11-22,TMAX,157
CA006111467,2005-01-29,TMAX,20
CA006119500,2013-05-13,TMIN,7
CA006119274,2005-05-01,TMIN,-10
CA006128206,2005-05-29,TMAX,180
CA006114979,2007-02-07,TMIN,-175
CA006116132,2005-09-18,TMAX,240
CA006114979,2006-04-04,TMIN,-45
CA006111467,2008-05-17,TMIN,80
CA006116679,2012-10-27,TMAX,55
CA006119500,2006-12-24,TMIN,3
CA006116132,2006-07-29,TMIN,195
CA006127890,2007-01-07,TMAX,45
CA006116132,2006-07-29,TMAX,275
CA006116132,2005-08-11,TMAX,260
CA006119500,2012-02-10,TMIN,-117
CA006128206,2005-06-18,TMAX,190
CA006111467,2009-01-28,TMIN,-150
CA006116132,2006-01-10,TMAX,30
CA006114979,2011-09-25,TMIN,75
CA006119500,2006-12-24,TMAX,50
CA006127890,2009-12-26,TMAX,25
CA006111467,2006-02-09,TMAX,-70
CA006111467,2011-02-12,TMAX,-45
CA006119500,2006-08-14,TMAX,239
CA006111467,2012-09-02,TMIN,100
CA006119500,2012-11-22,TMIN,55
CA006111467,2007-07-07,TMIN,110
CA006119500,2009-12-23,TMAX,-37
CA006116679,2013-10-10,TMAX,215
CA006127890,2006-11-19,TMAX,15
CA006114979,2006-02-15,TMIN,-35
CA006119500,2007-08-23,TMAX,268
CA006111467,2007-07-07,TMAX,280
CA006111467,2009-12-23,TMIN,-155
CA006128206,2005-06-06,TMAX,250
CA006116679,2013-10-10,TMIN,20
CA006147229,2005-06-10,TMIN,200
CA006119500,2014-05-23,TMIN,50
CA006114979,2012-04-26,TMIN,-10
CA006147229,2005-02-26,TMAX,-75
CA006147229,2005-02-24,TMAX,-80
CA006111467,2005-08-24,TMIN,60
CA006111467,2011-10-28,TMAX,85
CA006119500,2007-03-17,TMAX,-6
CA006127890,2006-04-13,TMIN,45
CA006128206,2005-06-06,TMIN,180
CA006114979,2006-12-21,TMAX,40
CA006119500,2007-08-23,TMIN,196
CA006114979,2012-04-26,TMAX,75
CA006114979,2011-12-18,TMAX,15
CA006119500,2014-01-14,TMIN,-27
CA006119500,2011-12-19,TMAX,55
CA006114979,2006-01-07,TMIN,-95
CA006114979,2009-06-07,TMAX,145
CA006114979,2009-06-07,TMIN,70
CA006127890,2005-10-19,TMIN,70
CA006119500,2007-12-01,TMIN,-125
CA006114979,2005-03-10,TMAX,-45
CA006116679,2006-08-14,TMAX,235
CA006114979,2012-01-01,TMIN,-5
CA006119274,2006-06-20,TMAX,185
CA006119500,2006-01-01,TMIN,-43
CA006111467,2013-09-22,TMAX,105
CA006119274,2006-06-08,TMIN,110
CA006119500,2014-05-26,TMIN,116
CA006128206,2006-07-17,TMAX,310
CA006114979,2014-12-17,TMAX,20
CA006127890,2006-10-31,TMAX,155
CA006111467,2013-03-08,TMIN,-10
CA006116679,2013-10-24,TMIN,-10
CA006114979,2005-10-09,TMAX,140
CA006119500,2008-11-17,TMAX,-2
CA006116679,2013-11-04,TMIN,-60
CA006114979,2010-06-24,TMAX,225
CA006111467,2007-10-20,TMAX,155
CA006111467,2011-10-24,TMAX,130
CA006119500,2013-01-19,TMAX,51
CA006119500,2014-05-23,TMAX,146
CA006119500,2013-11-05,TMAX,114
CA006116132,2007-08-06,TMAX,275
CA006119500,2013-01-19,TMIN,6
CA006119500,2008-10-23,TMIN,-53
CA006114979,2005-10-26,TMAX,60
CA006119500,2013-05-13,TMAX,73
CA006119500,2009-09-19,TMAX,173
CA006114979,2014-12-17,TMIN,-15
CA006116679,2013-08-04,TMAX,185
CA006127890,2008-01-13,TMIN,-25
CA006127890,2008-01-13,TMAX,25
CA006116679,2013-02-06,TMIN,-145
CA006111467,2009-03-03,TMAX,-65
CA006127890,2010-04-12,TMAX,110
CA006127890,2008-07-18,TMIN,175
